"","x"
"566",7607684.49433003
"567",7607323.4555242
"568",7606773.13759089
"569",7607967.12555805
"570",7607953.72065408
"571",7607051.33236714
"572",7610111.10906751
"573",7607510.52749507
"574",7609146.6866476
"575",7605787.97354789
"576",7607135.04059891
"577",7602987.18545628
"578",7607568.56931365
"579",7608196.35235807
"580",7608013.1939389
"581",7607859.06356156
"582",7609608.18271214
"583",7611843.17822754
"584",7608354.01625184
"585",7607763.29007796
"586",7607869.84945992
"587",7606220.65841805
"588",7608269.03585162
"589",7607371.18101427
"590",7607864.36808228
"591",7607274.77135726
"592",7608489.14079009
"593",7607584.29452632
"594",7608390.78548614
"595",7609705.27603768
"596",7606232.73001166
"597",7606755.43907078
"598",7606984.66820745
"599",7608644.47072725
"600",7606944.39713292
"601",7603484.78927157
"602",7603545.72683311
"603",7604744.73155001
"604",7604229.6174066
"605",7604061.85266847
"606",7603037.03312788
"607",7604273.29928505
"608",7604821.79607778
"609",7604399.24636919
"610",7604663.85080509
"611",7606658.83468056
"612",7604623.694459
"613",7604137.60360324
"614",7603527.2084626
"615",7604338.90519932
"616",7604593.47389859
"617",7604510.72964213
"618",7603409.95604041
"619",7606136.00235586
"620",7605115.70021418
"621",7604952.91801998
"622",7605642.82015701
"623",7604321.84240495
"624",7604060.90360706
"625",7604717.06139192
"626",7606409.08242291
"627",7604149.12719495
"628",7604468.11514879
"629",7602646.34648482
"630",7603399.77627048
"631",7602032.31879545
"632",7604517.86367582
"633",7603525.35068958
"634",7605372.22208366
"635",7604270.83250899
"636",7601264.41501858
"637",7604710.44461316
"638",7604417.0436439
"639",7604492.95768199
"640",7605201.43864351
"641",7603393.00888621
"642",7604131.49766517
"643",7603931.05847886
"644",7602947.3654122
"645",7604540.88939061
"646",7605688.54287283
"647",7605150.09143741
"648",7601441.30666643
"649",7604464.5059118
"650",7604490.90859007
"651",7601704.59338411
"652",7602293.07946718
"653",7606301.66537805
"654",7605376.86168852
"655",7604668.77307641
"656",7603095.07694318
"657",7604493.41872558
"658",7604461.8181424
"659",7603634.2437055
"660",7604400.55041942
"661",7604542.86827589
"662",7604097.0943976
"663",7604697.30201239
"664",7603965.40842035
"665",7604630.44237901
"666",7604538.25768431
"667",7604184.3923357
"668",7605511.35632336
"669",7604802.77055878
"670",7604194.34278542
"671",7603032.70115153
"672",7604796.10775032
"673",7604304.73788197
"674",7604181.68696473
"675",7604200.47399579
"676",7604414.38426116
"677",7606627.72059744
"678",7604890.44811164
"679",7603819.45205174
"680",7599208.19051109
"681",7604472.49059231
"682",7603858.9461292
"683",7604585.20185119
"684",7604054.52141109
"685",7603952.7129374
"686",7603704.70119933
"687",7604446.41290629
"688",7602509.34841935
"689",7605591.48461444
"690",7604444.10618611
"691",7604472.89743984
"692",7604429.30400707
"693",7603855.27596015
"694",7603963.80204485
"695",7606944.86241191
"696",7606145.57559022
"697",7604647.35316781
"698",7604663.82351365
"699",7602936.17001895
"700",7604902.68701874
"701",7608583.5207469
"702",7606280.73770724
"703",7606786.70822019
