"","x"
"143",556275.354097701
"144",555279.879230501
"145",554828.738492741
"146",554713.240085604
"147",553908.27803483
"148",552751.691541838
"149",551333.696256834
"150",551130.448748283
"151",551143.79047471
"152",551167.865973779
"153",551339.690072311
"154",551320.452803702
"155",552573.913563227
"156",553827.374322752
"157",553804.468201635
"158",553881.73721178
"159",551638.084321116
"160",549630.18983703
"161",550097.161498823
"162",550564.133160615
"163",550575.655562044
"164",548898.595904507
"165",548819.0787338
"166",550742.596692134
"167",552437.702612784
"168",554132.808533433
"169",554105.033743421
"170",557624.933914063
"171",556805.159084168
"172",554659.577302531
"173",555391.179945348
"174",554787.191292742
"175",554748.161631792
"176",554834.002838727
"177",554767.729980672
"178",554498.289257598
"179",554363.060170514
"180",554227.831083429
"181",554256.807655781
"182",554358.584476072
"183",556502.132338287
"184",556604.604477314
"185",557822.261690412
"186",559039.91890351
"187",559056.579796031
"188",559039.603879212
"189",559501.802069767
"190",561060.089617943
"191",562746.267074253
"192",564432.444530564
"193",564436.403995362
"194",564402.395512065
"195",564653.268156903
"196",565363.566249719
"197",565392.353643407
"198",565421.141037095
"199",565449.928430784
"200",564933.452592402
"201",563524.480067796
"202",561921.005619574
"203",559560.947897719
"204",557200.890175863
"205",556984.089471346
"206",557057.073048033
"207",557099.483995
"208",557033.112996123
"209",555422.173258493
"210",553811.233520864
"211",553748.03079233
"212",553449.34687853
"213",551960.524378075
"214",552994.52187671
"215",552163.562733847
"216",551332.603590984
"217",551309.573916753
"218",551890.254373481
"219",553797.807140696
"220",553830.603868857
"221",551408.822201017
"222",548987.040533177
"223",549038.361345821
"224",550162.724851681
"225",551313.228882942
"226",551128.775207028
"227",550031.941378184
"228",548935.10754934
"229",547838.273720496
"230",546741.439891652
"231",546750.419225035
"232",545768.183678495
"233",545780.063797132
"234",545791.94391577
"235",545798.059586985
"236",545713.104354201
"237",545609.721535887
"238",545808.008706687
"239",546042.252735292
"240",546276.496763896
"241",547171.299979115
"242",546856.599450785
"243",546865.104948194
"244",546174.096763971
"245",548949.027129795
"246",551723.95749562
"247",551519.248406094
"248",551798.729643619
"249",551244.110631012
"250",551217.270300983
"251",552484.016002987
"252",552557.296170317
"253",552787.680815763
"254",552982.185392557
"255",552930.2304264
"256",552953.433423738
"257",551759.686882865
"258",551763.350436718
"259",551334.333243473
"260",551553.476958373
"261",551457.407728002
"262",551361.338497631
"263",550673.155533956
"264",549984.972570281
"265",548675.303245078
"266",548414.076003816
"267",546711.347688313
"268",546693.574438571
"269",547745.50958261
"270",548797.444726649
"271",550782.764459025
"272",549876.719299964
"273",550767.239630422
"274",550802.79621534
"275",550615.407652034
"276",550428.019088729
"277",547670.574549487
"278",552112.113348929
"279",551762.622519782
"280",551769.711294752
"281",552303.562399561
"282",552837.41350437
"283",556704.190523052
"284",558274.754494227
"285",554156.458485516
"286",553519.9318014
"287",552627.471197603
"288",551735.010593805
"289",550842.549990007
"290",550681.654787315
"291",550724.604880214
"292",550710.112617406
"293",550587.611750966
"294",550465.110884526
"295",552153.265897085
"296",552196.277160177
"297",552239.28842327
"298",552197.231666757
"299",550501.18598537
"300",548805.140303983
"301",550057.403047587
"302",552911.987955333
"303",552931.932735957
"304",554060.547083474
"305",552228.676453464
"306",550396.805823454
"307",547273.382964006
"308",545610.737494562
"309",545616.519048271
"310",545647.233635185
"311",546689.037560636
"312",547730.841486088
"313",550210.032961707
"314",552212.959762713
"315",552530.154703675
"316",553248.489427411
"317",554145.369841451
"318",555042.250255491
"319",550621.785932485
"320",549293.548172428
"321",546939.305124969
"322",546982.657610777
"323",545720.979509905
"324",546752.902199402
