"","NLM__n1","NLM__n2","NLM__n3","NLM__n4","NLM__n5","NLM__n6"
"204",1,1288.81774902344,0.264761060476303,21.8928394317627,39570.984375,24801.37109375
"205",1,1471.27368164062,0.0493384338915348,2.0131413936615,39577.83984375,24660.33984375
"206",1,1454.6171875,0.0252624414861202,13.9701166152954,39640.55078125,24648.01953125
"207",1,1533.71313476562,0.0179260391741991,22.7062759399414,39844.99609375,24521.529296875
"208",1,1454.6171875,0.0252624414861202,13.9701166152954,39640.55078125,24648.01953125
"209",1,866.793640136719,0.0252443756908178,1.96429133415222,41235.640625,22286.9453125
"210",1,1179.91381835938,0.00832518748939037,5.92643928527832,42874.953125,19953.6640625
"211",1,1242.61303710938,0.0125446366146207,9.48756122589111,42902.1953125,19897.837890625
"212",1,1471.27368164062,0.0305885262787342,7.57872867584229,44122.45703125,18732.544921875
"213",3,1145.68579101562,0.00888107158243656,4.08824586868286,45351.55859375,16877.126953125
"214",3,371.594543457031,0.020507887005806,0.933088839054108,49134.296875,14633.466796875
"215",0,270.374725341797,NA,0,52415.59765625,11900.65234375
"216",3,90.1249160766602,0.123513735830784,0.0923102647066116,55737.20703125,9579.095703125
"217",1,80.6101760864258,0.0780524611473083,0,55709.48046875,9563.310546875
"218",0,343.185455322266,0.0775046348571777,0,56665.8046875,9791.1083984375
"219",3,201.525436401367,0.121912613511086,0.0632471740245819,59230.92578125,11343.1435546875
"220",1,241.830520629883,0.0885047540068626,0.0741516202688217,59202.90234375,11371.8212890625
"221",1,145.322052001953,0.092431977391243,0.0329984799027443,59439.58203125,8950.134765625
"222",3,166.18212890625,0.00782111566513777,0.106976382434368,59802.89453125,6538.68505859375
"223",1,102.758209228516,0.0115894488990307,0.533338010311127,59770.8125,6593.9169921875
"224",3,57,0.057684738188982,0.0158176347613335,58913.44140625,7706.86572265625
"225",1,80.6101760864258,0.0780524611473083,0,55709.48046875,9563.310546875
"226",3,145.322052001953,0.0478621535003185,0.373936116695404,55515.84375,9456.890625
"227",2,182.489044189453,0.0484045036137104,0.35210993885994,54990.4765625,8745.6005859375
