"","x"
"220",561944.372651115
"221",564096.589324113
"222",562113.669644162
"223",562077.357539795
"224",561922.479116316
"225",566903.196233581
"226",562390.473029103
"227",562804.347058429
"228",561634.13458662
"229",560468.276892719
"230",562847.773283741
"231",563480.186550445
"232",562341.188595232
"233",561679.670571151
"234",562812.787438506
"235",565227.169295969
"236",562121.43447437
"237",561679.309033214
"238",562146.556905248
"239",561821.732302179
"240",561647.08455191
"241",562024.108852887
"242",561600.838326092
"243",561589.111503035
"244",561622.940966927
"245",562047.61702561
"246",561905.178701826
"247",562050.611527089
"248",562489.936596217
"249",563268.417458007
"250",561713.043592958
"251",560309.06314736
"252",561134.070548147
"253",560982.994333593
"254",565498.368624199
"255",561430.061305425
"256",561686.933459509
"257",562760.510586609
"258",558754.294190297
"259",563957.422612025
"260",560081.807173833
"261",560364.589774119
"262",560385.421416932
"263",562137.473339348
"264",559026.540632231
"265",560725.306637977
"266",560859.677077178
"267",561861.287290742
"268",557667.546009815
"269",560458.24169131
"270",560158.773687629
"271",563286.518642517
"272",560810.177330848
"273",560645.146394072
"274",560138.832710963
"275",561409.15786005
"276",561425.164643444
"277",564341.258948485
"278",561775.426913122
"279",560770.393199393
"280",560741.77109928
"281",562236.593261197
"282",560219.589309867
"283",561054.831587521
"284",561254.679461962
"285",560600.284895637
"286",561256.155146326
"287",560371.059186644
"288",560946.516958556
"289",560466.117177027
"290",559585.83619807
"291",561202.128126254
"292",560958.222197525
"293",560182.455566597
"294",560497.014667262
"295",560771.842993702
"296",561919.154218182
"297",560280.940135019
"298",561095.081526138
"299",561149.723898861
"300",560985.951334543
"301",561165.723020697
"302",557821.656285331
"303",560532.660074545
"304",559871.520172659
"305",559116.531203746
"306",559727.363064177
"307",559714.49632181
"308",559549.213038674
"309",560258.922674141
"310",559203.115995481
"311",559052.085411747
"312",559720.78546712
"313",560841.991322636
"314",559845.290212994
"315",560022.20588127
"316",559407.679356788
"317",559221.693327872
"318",561332.713314738
"319",557150.803980598
"320",558315.028866687
"321",559217.566320251
"322",558527.403242279
"323",559531.040433235
"324",559847.305646214
"325",559730.364828492
"326",559753.784863005
"327",557908.094906552
"328",559482.624130859
"329",559639.485277963
"330",559771.170140741
"331",561575.100896377
"332",560310.107282696
"333",559421.75444553
"334",559731.241691422
"335",559748.6976195
"336",560321.013037577
"337",558988.210738136
"338",557265.501148333
"339",561971.043940878
"340",559709.209917535
"341",555441.676150838
"342",557141.554540888
"343",557457.021254781
"344",559517.309133294
"345",558814.578329452
"346",557848.877515493
"347",560350.998187085
"348",561913.887881773
"349",556211.805199654
"350",559565.901940502
"351",560196.248839584
"352",565557.544479979
"353",561050.024784032
"354",558239.782418199
"355",559560.251766664
"356",559953.791322159
"357",560283.871847101
"358",558656.801752272
"359",560574.396430835
"360",560103.659533335
"361",559749.887571351
"362",558928.7466877
"363",559709.721769135
"364",560490.820650418
"365",559792.306595976
"366",559556.395505678
"367",559813.013926557
"368",560595.838176613
"369",561008.103448685
"370",555747.827913817
"371",559811.207937228
"372",559380.809403508
"373",559666.792644428
"374",559440.906758047
"375",560851.750015316
"376",560638.712006273
"377",560360.527069279
"378",558724.673915245
"379",560519.557474045
"380",557947.142732742
"381",557513.234312722
"382",559493.064346161
"383",559607.645497116
"384",559648.586367345
"385",559759.275802345
"386",559819.751819348
"387",560273.393023375
"388",561834.51447893
"389",558905.451691642
"390",560544.382107058
"391",559780.496330943
"392",558171.915023502
"393",558398.460147923
"394",558830.668432149
"395",560048.423022111
"396",556545.029540684
"397",558933.086665004
"398",559847.042699843
"399",560436.692851218
"400",556101.033292534
"401",561514.752496816
"402",558620.677601733
"403",563999.921930994
"404",561383.113446204
"405",562207.953488517
"406",562054.581881636
"407",561954.168382334
"408",557953.986750141
"409",561899.610264131
"410",561019.333506369
"411",562853.69074897
"412",561313.719267879
"413",561430.292311536
"414",561036.665169383
"415",562771.150270291
"416",562489.094620812
"417",560947.660083417
"418",561961.089148473
"419",561912.589218932
"420",562118.799082774
"421",562224.130101177
"422",561722.214777801
"423",561778.861513506
"424",562765.015640712
"425",561892.146190398
"426",563136.187247454
"427",561797.032162507
"428",561179.150135823
"429",562494.341335843
"430",563081.253116537
"431",556890.069816344
"432",561374.612395726
"433",562412.820490369
"434",562575.566395634
"435",560512.64390187
"436",561543.300008179
"437",562116.497715376
"438",560897.254276099
"439",563400.030606729
"440",562496.804919804
"441",563560.156551161
"442",562016.38117449
"443",562214.60522565
"444",562654.362538702
"445",562363.718968511
"446",561978.150263656
"447",561829.437394221
"448",562164.377754605
"449",562525.892715047
"450",561515.593751195
"451",563981.440523848
"452",564757.506487321
"453",563455.143491165
"454",558645.559763041
"455",560183.004521419
"456",563026.67649882
"457",561095.333391638
"458",563106.989556639
"459",563721.819756576
"460",561538.60053277
"461",565595.083345298
"462",563353.43958998
"463",559343.181573997
"464",562058.974744945
"465",563658.613069875
"466",561768.017365827
"467",562262.120662686
"468",562562.900332341
"469",561948.547562508
"470",565754.319977209
"471",564288.767616077
"472",561949.667292813
"473",562687.534405671
"474",562274.961187435
"475",563384.749186335
"476",562512.682068662
"477",564117.560631129
"478",562820.945923667
"479",562526.667203998
"480",562198.092007623
"481",562711.320943439
"482",562545.451666706
"483",562993.4768398
"484",564023.166047085
"485",563190.123098757
"486",562264.332240357
"487",562065.900625496
"488",562832.914546918
"489",561574.910326362
"490",562286.981335112
"491",562268.397833175
"492",562470.726114074
"493",559339.384428516
"494",562311.193941312
"495",562401.402115006
"496",562423.533712018
"497",562439.571264547
"498",562387.927553013
"499",562370.982378884
"500",562836.737358617
"501",561621.013934097
"502",559014.736715325
"503",562853.434447214
"504",560756.997514215
"505",562105.853142618
"506",560682.615675435
"507",562034.834823597
"508",561300.746223302
"509",562506.509691858
"510",563643.095671213
"511",561439.553510038
"512",561359.23207339
"513",561764.983430869
"514",561607.922605803
"515",561443.347905396
"516",562420.236083704
"517",559715.797514747
"518",562174.970718891
"519",560117.139371735
"520",560886.699558085
"521",562278.713121617
"522",561753.174393571
"523",559917.520513876
"524",561814.351302953
"525",560787.794447985
"526",561695.37182283
"527",560011.505910917
"528",562291.520177085
"529",560912.620348498
"530",560586.324764133
"531",560640.169943979
"532",560577.514035735
"533",561306.27733097
"534",568971.73440773
"535",562077.829263648
"536",561135.1985511
"537",561537.654736449
"538",562667.049451286
"539",560310.909708837
"540",560694.165290258
"541",564358.129668636
"542",561890.999042179
"543",561405.94895725
"544",560842.939334715
"545",561564.186027731
"546",561385.878566426
