id,x,y,date,time
220,591718,5800637,12/3/2004,4:01
220,591118,5800643,12/3/2004,6:00
220,589084,5800548,12/3/2004,12:01
220,588873,5800452,12/3/2004,16:01
220,589099,5800676,12/3/2004,18:00
220,591283,5804481,12/3/2004,20:01
220,590960,5805034,12/3/2004,22:01
220,591616,5805798,12/4/2004,0:00
220,594440,5807681,12/4/2004,2:00
220,603630,5808138,12/4/2004,4:01
220,602955,5804876,12/4/2004,6:01
220,600998,5802927,12/4/2004,8:01
220,598311,5803471,12/4/2004,12:01
220,598336,5803507,12/4/2004,16:00
220,598339,5803513,12/4/2004,18:00
220,598332,5803526,12/4/2004,20:01
220,598329,5803566,12/4/2004,22:00
220,600656,5800416,12/5/2004,0:01
220,601716,5800348,12/5/2004,2:01
220,601579,5800254,12/5/2004,4:01
220,601574,5800204,12/5/2004,6:01
220,601397,5800408,12/5/2004,8:00
220,601371,5800345,12/5/2004,10:01
220,601582,5800247,12/5/2004,12:00
220,601538,5800251,12/5/2004,14:01
220,601552,5800427,12/5/2004,16:00
220,601546,5800256,12/5/2004,18:00
220,601533,5800298,12/5/2004,20:00
220,602975,5799579,12/5/2004,22:00
220,603249,5799572,12/6/2004,0:01
220,603580,5803941,12/6/2004,2:02
220,601838,5805030,12/6/2004,4:01
220,601167,5806173,12/6/2004,6:01
220,601140,5806230,12/6/2004,8:00
220,601150,5806246,12/6/2004,10:00
220,601143,5806241,12/6/2004,12:00
220,601142,5806241,12/6/2004,14:00
220,601099,5806274,12/6/2004,16:01
220,601138,5806234,12/6/2004,18:00
220,601171,5806196,12/6/2004,20:00
220,601193,5806210,12/6/2004,22:00
220,601169,5806185,12/7/2004,0:00
220,601137,5806235,12/7/2004,2:00
220,602283,5806847,12/7/2004,4:01
220,602757,5808132,12/7/2004,6:00
220,597602,5810753,12/7/2004,8:01
220,598106,5810503,12/7/2004,10:00
220,597848,5810525,12/7/2004,12:00
220,596968,5809982,12/7/2004,14:00
220,595100,5809665,12/7/2004,16:00
220,590824,5808386,12/7/2004,18:01
220,593984,5808719,12/7/2004,20:00
220,593994,5808715,12/7/2004,22:00
220,593439,5807790,12/8/2004,0:01
220,593443,5807777,12/8/2004,2:00
220,593444,5807828,12/8/2004,4:01
220,593439,5807796,12/8/2004,6:01
220,593674,5807645,12/8/2004,8:01
220,595144,5806320,12/8/2004,12:00
220,595083,5806091,12/8/2004,14:00
220,595144,5806337,12/8/2004,16:00
220,595138,5806313,12/8/2004,18:00
220,592313,5805072,12/8/2004,20:01
220,591699,5805102,12/8/2004,22:00
220,591702,5805098,12/9/2004,0:01
220,591727,5805039,12/9/2004,2:00
220,588688,5806269,12/9/2004,4:01
