"","x_","y_","t_","grid_id"
"196",546865.1049,7637694.008,2005-07-02 20:18:00,583
"197",546174.0968,7637460.171,2005-07-03 00:18:00,583
"198",551723.9575,7638139.623,2005-07-03 08:18:00,586
"199",551519.2484,7636718.51,2005-07-03 12:18:00,585
"200",551798.7296,7635285.4,2005-07-03 16:18:00,560
"201",551244.1106,7634222.303,2005-07-03 20:18:00,533
"202",551217.2703,7631915.822,2005-07-04 00:18:00,507
"203",552484.016,7629424.404,2005-07-04 04:18:00,482
"204",552557.2962,7629446.803,2005-07-04 08:18:00,482
"205",552787.6808,7629606.574,2005-07-04 12:18:00,482
"206",552982.1854,7629642.549,2005-07-04 16:18:00,482
"207",552930.2304,7629737.146,2005-07-04 20:18:00,482
"208",552953.4334,7629682.452,2005-07-05 00:18:00,482
"209",551759.6869,7628396.925,2005-07-05 04:18:00,456
"210",551763.3504,7627887.228,2005-07-05 08:18:00,456
"211",551334.3332,7627050.103,2005-07-05 12:18:00,455
"212",551553.477,7626728.078,2005-07-05 16:18:00,455
"213",551361.3385,7626629.247,2005-07-06 00:18:00,455
"214",549984.9726,7625913.246,2005-07-06 08:18:00,429
"215",548675.3032,7631615.125,2005-07-06 12:18:00,506
"216",548414.076,7632557.915,2005-07-06 16:18:00,532
"217",546711.3477,7635535.321,2005-07-06 20:18:00,557
"218",546693.5744,7635531.863,2005-07-07 00:18:00,557
"219",548797.4447,7638043.05,2005-07-07 08:18:00,584
"220",550782.7645,7628758.051,2005-07-07 12:18:00,481
"221",549876.7193,7632703.877,2005-07-07 16:18:00,533
"222",550767.2396,7628737.587,2005-07-07 20:18:00,481
"223",550802.7962,7628772.388,2005-07-08 00:18:00,481
"224",550428.0191,7627425.605,2005-07-08 08:18:00,455
"225",547670.5745,7629336.571,2005-07-08 12:18:00,480
"226",552112.1133,7629362.379,2005-07-08 16:18:00,482
"227",551762.6225,7627956.571,2005-07-08 20:18:00,456
"228",551769.7113,7627985.209,2005-07-09 00:18:00,456
"229",552837.4135,7626282.178,2005-07-09 08:18:00,430
"230",556704.1905,7630089.196,2005-07-09 12:18:00,484
"231",558274.7545,7631327.852,2005-07-09 16:18:00,511
"232",554156.4585,7632408.595,2005-07-09 20:18:00,509
"233",553519.9318,7632482.699,2005-07-10 00:18:00,508
"234",550842.55,7625061.963,2005-07-10 12:18:00,429
"235",550681.6548,7624267.628,2005-07-10 16:18:00,403
"236",550724.6049,7624274.853,2005-07-10 20:18:00,403
"237",550710.1126,7624380.092,2005-07-11 00:18:00,403
"238",550465.1109,7630965.928,2005-07-11 08:18:00,507
"239",552153.2659,7635074.591,2005-07-11 12:18:00,560
"240",552239.2884,7641378.019,2005-07-11 20:18:00,638
"241",552197.2317,7642491.925,2005-07-12 00:18:00,638
"242",548805.1403,7645342.27,2005-07-12 08:18:00,688
"243",550057.403,7646026.594,2005-07-12 12:18:00,689
"244",552911.988,7644659.935,2005-07-12 16:18:00,690
"245",552931.9327,7644685.551,2005-07-12 20:18:00,690
"246",554060.5471,7643169.078,2005-07-13 00:18:00,665
"247",550396.8058,7640940.835,2005-07-13 08:18:00,637
"248",547273.383,7639923.613,2005-07-13 12:18:00,609
"249",545610.7375,7639193.604,2005-07-13 16:18:00,608
"250",545616.519,7639184.169,2005-07-13 20:18:00,608
"251",545647.2336,7639038.173,2005-07-14 00:18:00,609
"252",547730.8415,7638091.001,2005-07-14 08:18:00,584
"253",550210.033,7636442.887,2005-07-14 12:18:00,559
"254",552212.9598,7637888.292,2005-07-14 16:18:00,586
"255",552530.1547,7639106.234,2005-07-14 20:18:00,612
