t,x,y,datetime
254,552930.2304,7629737.146,2005-07-04 20:18
255,552953.4334,7629682.452,2005-07-05 0:18
256,551759.6869,7628396.925,2005-07-05 4:18
257,551763.3504,7627887.228,2005-07-05 8:18
258,551334.3332,7627050.103,2005-07-05 12:18
259,551553.477,7626728.078,2005-07-05 16:18
261,551361.3385,7626629.247,2005-07-06 0:18
263,549984.9726,7625913.246,2005-07-06 8:18
264,548675.3032,7631615.125,2005-07-06 12:18
265,548414.076,7632557.915,2005-07-06 16:18
266,546711.3477,7635535.321,2005-07-06 20:18
267,546693.5744,7635531.863,2005-07-07 0:18
269,548797.4447,7638043.05,2005-07-07 8:18
270,550782.7645,7628758.051,2005-07-07 12:18
271,549876.7193,7632703.877,2005-07-07 16:18
272,550767.2396,7628737.587,2005-07-07 20:18
273,550802.7962,7628772.388,2005-07-08 0:18
275,550428.0191,7627425.605,2005-07-08 8:18
276,547670.5745,7629336.571,2005-07-08 12:18
277,552112.1133,7629362.379,2005-07-08 16:18
278,551762.6225,7627956.571,2005-07-08 20:18
279,551769.7113,7627985.209,2005-07-09 0:18
281,552837.4135,7626282.178,2005-07-09 8:18
282,556704.1905,7630089.196,2005-07-09 12:18
283,558274.7545,7631327.852,2005-07-09 16:18
284,554156.4585,7632408.595,2005-07-09 20:18
285,553519.9318,7632482.699,2005-07-10 0:18
288,550842.55,7625061.963,2005-07-10 12:18
289,550681.6548,7624267.628,2005-07-10 16:18
290,550724.6049,7624274.853,2005-07-10 20:18
291,550710.1126,7624380.092,2005-07-11 0:18
293,550465.1109,7630965.928,2005-07-11 8:18
294,552153.2659,7635074.591,2005-07-11 12:18
296,552239.2884,7641378.019,2005-07-11 20:18
297,552197.2317,7642491.925,2005-07-12 0:18
299,548805.1403,7645342.27,2005-07-12 8:18
300,550057.403,7646026.594,2005-07-12 12:18
301,552911.988,7644659.935,2005-07-12 16:18
302,552931.9327,7644685.551,2005-07-12 20:18
303,554060.5471,7643169.078,2005-07-13 0:18
305,550396.8058,7640940.835,2005-07-13 8:18
306,547273.383,7639923.613,2005-07-13 12:18
307,545610.7375,7639193.604,2005-07-13 16:18
308,545616.519,7639184.169,2005-07-13 20:18
309,545647.2336,7639038.173,2005-07-14 0:18
311,547730.8415,7638091.001,2005-07-14 8:18
312,550210.033,7636442.887,2005-07-14 12:18
313,552212.9598,7637888.292,2005-07-14 16:18
314,552530.1547,7639106.234,2005-07-14 20:18
315,553248.4894,7640136.158,2005-07-15 0:18
317,555042.2503,7642995.096,2005-07-15 8:18
318,550621.7859,7644873.798,2005-07-15 12:18
319,549293.5482,7642264.709,2005-07-15 16:18
320,546939.3051,7640383.348,2005-07-15 20:18
321,546982.6576,7640376.039,2005-07-16 0:18
322,545720.9795,7638965.855,2005-07-16 4:18
323,546752.9022,7638802.689,2005-07-16 8:18
324,546624.913,7639141.398,2005-07-16 12:18
325,546727.129,7639449.985,2005-07-16 16:18
326,546024.7873,7640419.085,2005-07-16 20:18
327,546025.8773,7640393.111,2005-07-17 0:18
329,545654.6903,7639033.039,2005-07-17 8:18
330,545542.8273,7638122.906,2005-07-17 12:18
331,547871.3234,7635376.057,2005-07-17 16:18
332,550821.3526,7635368.732,2005-07-17 20:18
333,550732.5422,7634925.719,2005-07-18 0:18
335,550959.9106,7640308.626,2005-07-18 8:18
336,546980.7141,7640025.987,2005-07-18 12:18
337,546473.426,7639540.305,2005-07-18 16:18
338,546517.1233,7639526.854,2005-07-18 20:18
339,546526.2485,7639578.131,2005-07-19 0:18
341,544349.4953,7639073.474,2005-07-19 8:18
342,546273.7415,7639212.684,2005-07-19 12:18
343,545173.1876,7639155.219,2005-07-19 16:18
344,545214.1793,7639106.83,2005-07-19 20:18
345,545137.0793,7639229.909,2005-07-20 0:18
347,545102.5706,7638916.315,2005-07-20 8:18
348,543472.0807,7638075.916,2005-07-20 12:18
349,542901.6359,7637639.88,2005-07-20 16:18
350,542921.9953,7637619.203,2005-07-20 20:18
351,542719.2802,7637286.529,2005-07-21 0:18
353,543298.2782,7635672.197,2005-07-21 8:18
354,546589.5323,7639392.655,2005-07-21 12:18
355,546602.0181,7639382.174,2005-07-21 16:18
357,546500.7295,7639619.885,2005-07-22 0:18
360,545000.26,7639002.035,2005-07-22 12:18
361,544769.7773,7638979.59,2005-07-22 16:18
362,544761.4628,7638953.85,2005-07-22 20:18
363,544400.5891,7639162.79,2005-07-23 0:18
365,543844.3188,7637898.513,2005-07-23 8:18
366,543204.4118,7637667.776,2005-07-23 12:18
367,542912.335,7637650.655,2005-07-23 16:18
368,542935.4279,7637691.223,2005-07-23 20:18
369,543022.8476,7637302.618,2005-07-24 0:18
370,542166.5455,7635415.073,2005-07-24 4:18
371,541974.9894,7634236.917,2005-07-24 8:18
372,541855.5303,7634293.291,2005-07-24 12:18
373,541775.7831,7635546.718,2005-07-24 16:18
374,541739.2756,7635526.433,2005-07-24 20:18
375,541487.5899,7635560.324,2005-07-25 0:18
377,542475.9325,7640704.051,2005-07-25 8:18
378,541691.978,7642871.484,2005-07-25 12:18
379,541306.4702,7641165.695,2005-07-25 16:18
380,540987.0674,7641606.041,2005-07-25 20:18
381,540684.6502,7641128.603,2005-07-26 0:18
383,542903.0417,7641208.29,2005-07-26 8:18
384,545036.8116,7641705.618,2005-07-26 12:18
385,543667.364,7641211.616,2005-07-26 16:18
386,543716.4188,7641190.196,2005-07-26 20:18
387,543572.6859,7641182.938,2005-07-27 0:18
389,543958.8439,7637926.331,2005-07-27 8:18
390,541340.5768,7638267.191,2005-07-27 12:18
391,539977.782,7637626.759,2005-07-27 16:18
392,540254.0449,7633313.896,2005-07-27 20:18
393,540277.5092,7633316.103,2005-07-28 0:18
