"","x"
"292",7624380.09183347
"293",7627673.00982766
"294",7630965.92782185
"295",7635074.59077389
"296",7638226.30499298
"297",7641378.01921208
"298",7642491.92540837
"299",7643917.09759541
"300",7645342.26978245
"301",7646026.59412094
"302",7644659.93537521
"303",7644685.55089981
"304",7643169.07821069
"305",7642054.95656563
"306",7640940.83492058
"307",7639923.61311891
"308",7639193.60380953
"309",7639184.16866627
"310",7639038.17284978
"311",7638564.58693499
"312",7638091.0010202
"313",7636442.88716334
"314",7637888.29170127
"315",7639106.23444224
"316",7640136.15750533
"317",7641565.62689581
"318",7642995.09628628
"319",7644873.79833225
"320",7642264.70871552
"321",7640383.34837328
"322",7640376.03915044
"323",7638965.85515457
"324",7638802.68892709
"325",7639141.39767881
"326",7639449.98475918
"327",7640419.08544876
"328",7640393.11080107
"329",7639713.07499477
"330",7639033.03918847
"331",7638122.9064945
"332",7635376.05743476
"333",7635368.73219385
"334",7634925.71911452
"335",7637617.17250515
"336",7640308.62589578
"337",7640025.98677778
"338",7639540.30464523
"339",7639526.85351375
"340",7639578.13055235
"341",7639325.8024373
"342",7639073.47432225
"343",7639212.68399021
"344",7639155.21862805
"345",7639106.83044215
"346",7639229.9087307
"347",7639073.11211495
"348",7638916.31549921
"349",7638075.91607253
"350",7637639.87990824
"351",7637619.20335154
"352",7637286.52944558
"353",7636479.36323501
"354",7635672.19702443
"355",7639392.65529734
"356",7639382.17389397
"357",7639501.02938354
"358",7639619.88487312
"359",7639413.93507053
"360",7639207.98526795
"361",7639002.03546536
"362",7638979.58953878
"363",7638953.85011091
"364",7639162.79002788
"365",7638530.65159222
"366",7637898.51315656
"367",7637667.77593616
"368",7637650.65511392
"369",7637691.22312901
"370",7637302.61837926
"371",7635415.07318513
"372",7634236.91700188
"373",7634293.29148432
"374",7635546.71813357
"375",7635526.43307621
"376",7635560.32432885
"377",7638132.1876371
"378",7640704.05094535
"379",7642871.48389611
"380",7641165.69530375
"381",7641606.04065192
"382",7641128.60308944
"383",7641168.44645959
"384",7641208.28982975
"385",7641705.61787852
"386",7641211.61580369
"387",7641190.19559969
"388",7641182.93753261
